企业名称	项目名称	中标日期	中标价（万元）	合同价（万元）	竣工验收日期	地上层数	地下层数	工程造价	建筑面积	工程资质	工程等级
广州机施建设集团有限公司	广州第16届亚运会马术比赛场项目（标段二）施工总承包	2009-12-30	9490.0874	9490.0874	2010-08-30			9490.087		市政公用工程施工总承包	04
广州市市政集团有限公司	从化市中心城区污水管网工程Ⅲ标段	2009-09-08	5166.154	5166.154	2010-06-30			5166.154		市政公用工程施工总承包	03
广州市房屋开发建设有限公司	东兴南片区雨污分流改造工程施工总承包	2009-10-16	1991.8728	1991.8728	2011-03-11			1991.873		市政公用工程施工总承包	03
广东建雅室内工程设计施工有限公司	中国包装进出口广东公司综合楼装修工程	2006-04-30	1428.88	2867.253	2008-01-10			2057.233		机电设备安装工程	03
广东建雅室内工程设计施工有限公司	中国包装进出口广东公司综合楼装修工程	2006-04-30	1428.88	2867.253	2008-01-10			2057.233		建筑装修装饰工程	02
广东建雅室内工程设计施工有限公司	中国电信广州数据中心消防工程施工专业承包	2012-11-19	2514.179337	2514.179337	2013-11-19			2514.179337	46419	消防设施工程	03
广东建雅室内工程设计施工有限公司	龙洞林场职工宿舍改造及装修工程施工专业承包	2009-10-29	1373.1902	1373.1902	2012-08-16			1057.284	3738.17	建筑智能化工程	04
广东建雅室内工程设计施工有限公司	龙洞林场职工宿舍改造及装修工程施工专业承包	2009-10-29	1373.1902	1373.1902	2012-08-16			1057.284	3738.17	消防设施工程	04
广东建雅室内工程设计施工有限公司	龙洞林场职工宿舍改造及装修工程施工专业承包	2009-10-29	1373.1902	1373.1902	2012-08-16			1057.284	3738.17	建筑装修装饰工程	03
广东建雅室内工程设计施工有限公司	龙洞林场职工宿舍改造及装修工程施工专业承包	2009-10-29	1373.1902	1373.1902	2012-08-16			1057.284	3738.17	机电设备安装工程	04
深圳市深装总装饰工程工业有限公司	广汽本田汽车有限公司增城工厂焊装车间二期改造工程	2014-01-23	3824.348888	3824.348888				1601.390915		建筑装修装饰工程	02
深圳市深装总装饰工程工业有限公司	广汽本田汽车有限公司增城工厂焊装车间二期改造工程	2014-01-23	3824.348888	3824.348888				1601.390915		机电设备安装工程	02
广州市住宅建设发展有限公司	广州市恒隆房地产投资有限公司“天一庄”B2栋商住楼工程	2003-05-09	4800.19	4800.19	2007-05-29	20	4	4800.19	48389	房屋建筑工程施工总承包	03
广州市市政集团有限公司	大观路与车陂路系统改善工程(大观路市政化改造工程一期I标)	2008-07-21	3624.8	3624.8	2009-01-14			3624.8		市政公用工程施工总承包	04
广州市市政集团有限公司	迎亚运市政道路大中修工程-内环路桥面黑色化施工总承包一标段	2010-07-19	8343.4857	8343.4857	2011-03-11			8343.486		市政公用工程施工总承包	02
广东省第四建筑工程公司	芳村花园二期工程施工总承包及总承包管理配合服务第八标段	2009-05-22	21965.309166	21965.309166	2012-02-21	32	1		81992	房屋建筑工程施工总承包	02
广东省第四建筑工程公司	珠江医院商业、办公、经济适用住宅楼工程2幢（自编A、B栋，裙房连体）施工总承包	2009-10-14	11399.035859	11399.035859	2012-12-25	32	2	11399	47191	房屋建筑工程施工总承包	02
广州协安建设工程有限公司	中船龙穴造船基地民船项目钢材预处理工场、切割加工场等厂房建设工程[标段1]	2007-03-16	17138.4648	17138.4648	2009-04-23			17138.465	68040	房屋建筑工程施工总承包	02
广州协安建设工程有限公司	黄陂污水处理厂工程施工	2009-02-27	7760.3486	7760.3486	2011-08-30					市政公用工程施工总承包	03
